"State","FIPS","Name","TotalVotes","Obama","Romney"
"IL",17175,"Stark",2661,1095,1527
"IL",17173,"Shelby",10383,3336,6837
"IL",17171,"Scott",2554,910,1586
"IL",17169,"Schuyler",3882,1726,2062
"IL",17167,"Sangamon",94032,41961,50131
"IL",17165,"Saline",10713,3697,6803
"IL",17163,"St. Clair",118379,66749,49610
"IL",17161,"Rock Island",64880,39081,24888
"IL",17159,"Richland",7274,2360,4750
"IL",17157,"Randolph",14380,5753,8284
"IL",17155,"Putnam",3132,1558,1500
"IL",17153,"Pulaski",3001,1389,1562
"IL",17151,"Pope",2219,649,1511
"IL",17149,"Pike",7275,2276,4853
"IL",17147,"Piatt",8697,3081,5412
"IL",17145,"Perry",9533,3813,5497
"IL",17143,"Peoria",78060,40050,36617
"IL",17141,"Ogle",23342,9504,13409
"IL",17139,"Moultrie",6052,2142,3781
"IL",17137,"Morgan",14071,5792,7962
"IL",17135,"Montgomery",12120,5053,6771
"IL",17133,"Monroe",17407,6205,10879
"IL",17131,"Mercer",8525,4503,3874
"IL",17129,"Menard",6142,2095,3944
"IL",17127,"Massac",6492,2092,4278
"IL",17125,"Mason",6272,2867,3265
"IL",17123,"Marshall",5842,2452,3287
"IL",17121,"Marion",15728,6210,9229
"IL",17119,"Madison",122203,58813,60481
"IL",17117,"Macoupin",20947,9440,10909
"IL",17115,"Macon",48742,22688,25249
"IL",17113,"McLean",72756,31590,39638
"IL",17111,"McHenry",133589,59691,71488
"IL",17109,"McDonough",12439,5957,6142
"IL",17107,"Logan",12037,3974,7835
"IL",17105,"Livingston",15019,5014,9745
"IL",17103,"Lee",15275,6932,8046
"IL",17101,"Lawrence",5984,2010,3853
"IL",17099,"LaSalle",47146,23023,23207
"IL",17097,"Lake",284032,151552,128609
"IL",17095,"Knox",22517,12993,9133
"IL",17093,"Kendall",45042,21219,23076
"IL",17091,"Kankakee",45452,21574,23115
"IL",17089,"Kane",183631,91120,89502
"IL",17087,"Johnson",5666,1571,3959
"IL",17085,"JoDaviess",11411,5660,5529
"IL",17083,"Jersey",9940,3656,6032
"IL",17081,"Jefferson",16303,6080,9805
"IL",17079,"Jasper",5038,1434,3511
"IL",17077,"Jackson",21190,11306,9130
"IL",17075,"Iroquois",12770,3408,9115
"IL",17073,"Henry",24279,12316,11564
"IL",17071,"Henderson",3563,1977,1538
"IL",17069,"Hardin",2330,742,1535
"IL",17067,"Hancock",8229,3246,4810
