parallel and distributed computing,3,2,2,,1,,1,,,,,,3,,,,,2,,,2,3,,,,,,,3,,,2,,1,,,3,,,,,,2,,,,,,3,,1,,,,,,,1,3,,,,1
computer graphics,,,,,,,,,,,,,1,,2,,,1,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
compilers,,,,,,2,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
remote sensing,,,3,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,2,,,,,,,,,,1,,,,,1,3
computational electromagnetism,,,,,,,,,,3,,3,,,,,,,,,3,,,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
plasmas and ionospheric physics,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
antennas and radio propagation,,,1,,3,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,3,,,,,,,,,,2,,,,3,,,,,,,,,,,,2,,,,3
fiber optics,,,1,,,,,,1,1,,1,,,,,,,2,,,,,3,,,3,,,,,2,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
optical communications,,,1,,1,,,1,,1,,1,,,,,,,3,,1,2,,3,,,3,,,,,2,,1,,1,,,,,,,,,,,,,,1,,2,,,1,,1,,,,,1,
plasmonic devices,,,,,,,1,,,3,,,,,,,,,3,,3,,1,,,,,,,,,,,,,3,,,,2,,,,,2,,,,,,,,,,1,,,,,,,,
optical MEMS,,,,,,,1,,,,,,,,,,,,2,,2,1,1,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,
imaging systems and microscopy,,,,,,,,2,3,,,,,,2,,,,1,,3,2,,,,,,1,,2,,3,,,,1,,,,,2,,,2,3,2,2,,,,,3,,,,,,,,,,,3
database systems,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,3,1,,,,
